original,new
1500 BLOCK E 5TH STREET LONG BEACH CA,
"300 BLOCK E 60TH ST, LONG BEACH CA",
3400 BLOCK E 61ST ST,
300 BLOCK E 61ST STREET,
2800 BLOCK E 63RD ST,
1900 BLOCK 63RD ST,
2900 BLOCK E 63RD ST,
1300 BLOCK E 63RD ST X ORANGE AVE,
"1800 BLOCK E 63RD ST, LONG BEACH CA",
1200 BLOCK E 64TH ST,
"3400 BLOCK E 64TH ST, LONG BEACH",
"3100 BLOCK E 64TH ST, LONG BEACH CA",
"1900 BLOCK E 64TH ST, LONG BEACH CA",
"2200 BLOCK E 65TH ST, LONG BEACH, CA",
"1100 BLOCK E 66TH WAY, LONG BEACH",
"1100 BLOCK E 66TH WAY, LONG BEACH CA",
2500 BLOCK E 67TH ST,
200 BLOCK E 67TH ST,
3400 BLOCK 67TH ST,
147 E 67TH ST,
600 BLOCK E 67TH ST,
200 BLOCK E 67TH WAY,
"200 BLOCK W 67TH WAY, LONG BEACH",
"200 BLOCK W 67TH WAY, LONG BEACH CA",
"200 BLOCK E 67TH WAY, LONG BEACH CA",
"200 BLOCK E 67TH WAY, LONG BEACH, CA",
1200 BLOCK E 68TH ST,
1600 BLOCK E 68TH ST,
"100 BLOCK E 68TH ST, LONG BEACH CA",
"1800 BLOCK E 68TH ST, LONG BEACH CA",
"1500 BLOCK E 68TH ST, LONG BEACH, CA",
100 E 68TH WAY,
200 BLOCK E 69TH ST,
200 BLOCK E 69TH WAY,
"100 E 69TH WAY, LONG BEACH CA",
1900 BLOCK E 6TH ST,
600 BLOCK W 6TH ST,
600 BLOCK E 6TH ST,
"200 BLOCK W 6TH ST, LONG BEACH CA",
"2200 BLOCK E 6TH ST, LONG BEACH CA",
"2400 BLOCK E 6TH ST, LONG BEACH CA",
"7-10 FREEWAY NEAR LONG BEACH BLVD EXIT, LONG BEACH CA",
"7-10 FREEWAY, LONG BEACH, CA",
7-10 SOUTH / E ANAHEIM ST,
1100 BLOCK 71ST ST,
"1000 BLOCK E 71ST ST, LONG BEACH CA",
"1000 BLOCK E 71ST WAY, LONG BEACH CA",
1000 BLOCK E 72ND ST,
600 BLOCK 72ND ST,
7700TH BLOCK E SPRING ST,
7700TH E SPRING ST,
770O E SPRING ST,
2000 E 7TH,
2500 E 7TH ST,
2200 BLOCK E 7TH ST,
5200 BLOCK E 7TH ST,
5900 BLOCK E 7TH ST,
1000 BLOCK E 7TH ST,
7TH ST / ORANGE LONG BEACH CA,
"1100 BLOCK E 7TH ST, LONG BEACH CA",
"100 BLOCK E 7TH ST, LONG BEACH CA",
"1200 BLOCK 7TH ST, LONG BEACH CA",
"500 BLOCK 7TH ST, LONG BEACH CA",
"400 BLOCK E 7TH ST, LONG BEACH CA",
"5200 BLOCK 7TH ST, LONG BEACH CA",
"1800 E 7TH ST, LONG BEACH CA",
3600 E 8TH ST,
1400 BLOCK E 8TH ST,
"600 BLOCK W 8TH ST, LONG BEACH CA",
"3400 BLOCK E 8TH ST, LONG BEACH, CA",
300 BLOCK E 9TH ST,
300 E 9TH ST,
"1300 BLOCK 9TH ST, LONG BEACH CA",
"1600 BLOCK W 9TH ST, LONG BEACH CA",
ABANDONED AT NATURE CENTER,
ABANDONED AT SHELTER,
5500 BLOCK ACKERFIELD,
5500 ACKERFIELD,
5500 BLOCK ACKERFIELD AVE,
"5500 BLOCK ACKERFIELD, LONG BEACH CA",
"12700 BLOCK ACLARE ST, CERRITOS CA",
13100 ACORO PL,
"100 BLOCK E ADAIR ST, LONG BEACH CA",
"400 BLOCK E ADAIR ST, LONG BEACH CA",
"2600 BLOCK E ADAMS ST, CARSON, CA",
"2300 BLOCK ADRIATIC AVE, LONG BEACH CA",
"2400 BLOCK ADRIATIC AVE, LONG BEACH, CA",
4800 BLOCK AGATE AVE,
11000 BLOCK AGNES ST,
"8000 BLOCK AINSWORTH LN, LA PALAMA CA",
"8000 BLOCK AINSWORTH LN, LA PALMA",
"8000 BLOCK AINSWORTH LN, LA PALMA CA",
3200 BLOCK AIRFLITE WAY,
"100 BLOCK E ALAMEDA ST, COMPTON CA",
700 BLOCK ALAMITOS,
100 BLOCK ALAMITOS AVE,
1000 BLOCK ALAMITOS AVE,
900 BLOCK ALAMITOS AVE,
"800 BLOCK ALAMITOS AVE, LOMG BEACH CA",
"2000 BLOCK ALAMITOS AVE, LONG BEACH",
"1400 BLOCK ALAMITOS AVE, LONG BEACH CA",
"100 BLOCK ALAMITOS AVE, LONG BEACH, CA",
"900 BLOCK ALAMITOS AVE, LONG BEACH, CA",
"1700 BLOCK ALAMITOS AVE, LONG BEACH, CA",
"2000 BLOCK ALAMITOS AVE, SIGNAL HILL CA",
3800 BLOCK ALBERAN AVE,
2100 BLOCK ALBURRY,
2400 BLOCK ALBURY AVE,
3900 BLOCK ALBURY AVE,
"3700 BLOCK ALBURY AVE, LONG BEACH CA",
12700 ALCONBURY,
3900 BLOCK E ALLIN ST,
"19200 BLOCK ALLINGHAM, CERRITOS CA",
200 BLOCK E ALLINGTON ST,
400 BLOCK ALMOND AVE,
800 BLOCK ALOMITOS AVE,
"8500 BLOCK ALONDRA BLVD, PARAMOUNT, CA",
17600 ALORA,
"2200 BLOCK AMELIA CT, SIGNAL HILL CA",
2100 E ANAHEIM,
3816 E ANAHEIM,
5400 BLOCK E ANAHEIM,
3400 E ANAHEIM,
2400 E ANAHEIM,
"5000 BLOCK ANAHEIM AVE, LONG BEACH CA",
"5000 BLOCK E ANAHEIM RD, LONG BEACH CA",
"5300 BLOCK E ANAHEIM RD, LONG BEACH CA",
"3900 BLOCK E ANAHEIM RD, LONG BEACH, CA",
2500 E ANAHEIM ST,
3800 BLOCK E ANAHEIM ST,
2500 BLOCK ANAHEIM ST,
2000 BLOCK ANAHEIM ST,
100 BLOCK E ANAHEIM ST,
3800 BLOCK ANAHEIM ST,
4100 BLOCK E ANAHEIM ST,
600 BLOCK ANAHEIM ST,
2500 BLOCK E ANAHEIM ST,
3400 BLOCK E ANAHEIM ST,
1368 ANAHEIM ST,
2100 E ANAHEIM ST LONG BEACH CA,
"4000 BLOCK E ANAHEIM ST, LONG BEACH",
"600 BLOCK ANAHEIM ST, LONG BEACH CA",
"4200 BLOCK E ANAHEIM ST, LONG BEACH CA",
"2540 ANAHEIM ST, LONG BEACH CA",
"3300 BLOCK E ANAHEIM ST, LONG BEACH, CA",
"1400 BLOCK W ANAHEIM ST, LONG BEACH, CA",
"3800 BLOCK E ANAHEIM ST, LONG BEACH, CA",
"1300 W ANAHEIM ST, LONG BECH CA",
"3140 E ANAHEIM, LONG BEACH",
"1600 E ANAHEIM, LONG BEACH CA",
2300 BLOCK ANAHIEM,
3400 BLOCK E ANDY ST,
"13000 BLOCK ANDY ST, CERRITOS CA",
"3300 BLOCK ANDY ST, LONG BEACH CA",
"3400 BLOCK E ANDY ST, LONG BEACH CA",
"1700 APOLLO WAY, SEAL BEACH, CA",
5800 E APPAN,
5800 APPIAN WAY,
5900 BLOCK E APPIAN WAY,
"5200 BLOCK E APPIAN WAY, LONG BEACH, CA",
"5800 BLOCK E APPIAN WY, LONG BEACH, CA",
"900 BLOCK E APPLETON AVE, LONG BEACH, CA",
"1300 BLOCK E APPLETON S, LONG BEACH, CA 90802T",
1300 BLOCK APPLETON ST,
1600 BLOCK APPLETON ST,
"1100 BLOCK E APPLETON ST, LONG BEACH CA",
1100 BLOCK E APPLETONST,
"100 BLOCK AQUARIUM WAY, LONG BEACH",
"00 BLOCK AQUARIUM WAY, LONG BEACH CA",
12800 BLOCK ARABELLA ST,
3600 BLOCK E ARABELLA ST,
"300 BLOCK ARBOR BLVD, LONG BEACH CA",
300 BLOCK E ARBOR RD,
100 W ARBOR ST,
300 BLOCK E ARBOR ST,
100 BLOCK W ARBOR ST,
"400 BLOCK E ARBOR ST, LONG BEACH CA",
"2100 BLOCK W ARLINGTON SE, LONG BEACH CA",
1800 BLOCK W ARLINGTON ST,
"2100 BLOCK W ARLINGTON ST, LONG BEACH CA",
"3100 BLOCK ARMOURDALE, LONG BEACH",
500 BLOCK ARTESIA,
2000 E ARTESIA,
200 BLOCK W ARTESIA,
13700 BLOCK ARTESIA AVE,
3200 BLOCK ARTESIA BLVD,
500 BLOCK E ARTESIA BLVD,
200 BLOCK E ARTESIA BLVD,
1100 W ARTESIA BLVD,
1300 BLOCK E ARTESIA BLVD,
540 E ARTESIA BLVD,
"ARTESIA BLVD / GERRIT, CE",
"12900 BLOCK E ARTESIA BLVD, CERRITOS",
"12100 BLOCK ARTESIA BLVD, CERRITOS CA",
"3200 BLOCK E ARTESIA BLVD, LONG BEACH CA",
"3100 BLOCK E ARTESIA BLVD, LONG BEACH CA",
"2100 BLOCK E ARTESIA BLVD, LONG BEACH CA",
"400 BLOCK E ARTESIA BLVD, LONG BEACH CA",
"2400 BLOCK E ARTESIA BLVD, LONG BEACH, CA",
"1300 BLOCK E ARTESIA BLVD, LONG BEACH, CA 90805,",
300 BLOCK ARTESIA LN,
13500 BLOCK ASHWORTH PL,
"5600 BLOCK E ATHERTON ST, LONG BEACH CA",
4800 ATLANTIC,
6400 ATLANTIC,
5900 ATLANTIC,
4100 ATLANTIC,
2200 ATLANTIC,
1600 BLOCK ATLANTIC,
ATLANTIC / 20TH,
ATLANTIC / ANAHEIM,
ATLANTIC / BURNETT ST,
ATLANTIC / CARMELITOS,
5400 BLOCK ATLANTIC AVE,
3300 BLOCK ATLANTIC AVE,
5900 BLOCK ATLANTIC AVE,
4900 BLOCK ATLANTIC AVE,
500 BLOCK ATLANTIC AVE,
6300 ATLANTIC AVE,
2800 BLOCK ATLANTIC AVE,
1500 BLOCK ATLANTIC AVE,
900 BLOCK ATLANTIC AVE,
6500 BLOCK ATLANTIC AVE,
6100 BLOCK ATLANTIC AVE,
6700 BLOCK ATLANTIC AVE,
3900 BLOCK ATLANTIC AVE,
6400 BLOCK ATLANTIC AVE,
1600 BLOCK ATLANTIC AVE,
600 BLOCK ATLANTIC AVE,
5300 BLOCK ATLANTIC AVE,
6500 ATLANTIC AVE,
"6400 BLOCK ATLANTIC AVE, LONG BEACH",
"400 BLOCK ATLANTIC AVE, LONG BEACH CA",
"2300 BLOCK ATLANTIC AVE, LONG BEACH CA",
"2801 ATLANTIC AVE, LONG BEACH CA",
"300 BLOCK ATLANTIC AVE, LONG BEACH CA",
"5900 BLOCK ATLANTIC AVE, LONG BEACH CA",
"2400 BLOCK ATLANTIC AVE, LONG BEACH CA",
"6600 BLOCK ATLANTIC AVE, LONG BEACH CA",
"6100 BLOCK ATLANTIC AVE, LONG BEACH CA",
"6400 BLOCK ATLANTIC AVE, LONG BEACH CA",
"1600 BLOCK ATLANTIC AVE, LONG BEACH CA",
"3700 BLOCK ATLANTIC AVE, LONG BEACH CA",
"1700 BLOCK ATLANTIC AVE, LONG BEACH CA",
"3400 BLOCK ATLANTIC AVE, LONG BEACH CA",
"6700 BLOCK ATLANTIC AVE, LONG BEACH CA",
"2600 BLOCK ATLANTIC AVE, LONG BEACH CA",
"2200 BLOCK ATLANTIC AVE, LONG BEACH CA",
"5300 BLOCK ATLANTIC AVE, LONG BEACH CA",
"3000 BLOCK ATLANTIC AVE, LONG BEACH CA",
"5000 BLOCK ATLANTIC AVE, LONG BEACH CA",
"5400 BLOCK ATLANTIC AVE, LONG BEACH CA",
"5500 BLOCK ATLANTIC AVE, LONG BEACH CA",
"1800 ATLANTIC AVE, LONG BEACH CA",
"2600 BLOCK ATLANTIC AVE, LONG BEACH, CA",
"6900 BLOCK ATLANTIC AVE, LONG BEACH, CA",
"1600 BLOCK ATLANTIC AVE, LONG BEACH, CA",
"6400 BLOCK ATLANTIC AVE, LONG BEACH, CA",
"100 BLOCK ATLANTIC AVVE, LONG BEACH CA",
5400 BLOCK ATLANTIC BLVD,
ATLANTIC BLVD / ARTESIA BLVD,
7000 BLOCK ATLANTIC PL,
"7100 BLOCK ATLANTIC PL, LONG BEACH CA",
"2300 BLOCK ATLANTIC(ALLEY), LONG BEACH CA",
"20000 BLOCK AVENIDA PAMPLONA, CERRITOS CA",
5500 BLOCK AZURE WAY,
13000 BACH WAY,
"1600 BLOCK E BAILEY WAY, LONG BEACH CA",
600 BLOCK W BAKER ST,
"9500 BLOCK BALL RD, ANAHEIM CA",
"BALL ROAD / VALLEY VIEW, CYPRESS",
3600 BALTIC,
"3600 BLOCK BALTIC AVE, LONG BEACH CA",
"2000 BLOCK BALTIC AVE, LONG BEACH CA",
"2400 BLOCK BALTIC AVE, LONG BEACH CA",
100 BLOCK W BARCLAY ST,
"200 BLOCK E BARCLAY ST, LONG BEACH CA",
100 BLOCK BAY SHORE AVE,
2200 BAY VIEW DR,
6400 BLOCK BAYARD ST,
"BEACH / CHAPMAN, STANTON, CA",
"6800 BLOCK BELHURST AVE, LONG BEACHCA",
4300 BLOCK BELLFLOWER,
300 BELLFLOWER,
1800 BELLFLOWER,
BELLFLOWER / ELLIOTST,
1250 BELLFLOWER BLVD,
2900 BLOCK BELLFLOWER BLVD,
2000 BLOCK N BELLFLOWER BLVD,
"14500 BELLFLOWER BLVD, BELLFLOWER CA",
"1700 BLOCK BELLFLOWER BLVD, LONG BEACH",
"1200 BELLFLOWER BLVD, LONG BEACH",
"1200 BLOCK BELLFLOWER BLVD, LONG BEACH CA",
"2600 BLOCK BELLFLOWER BLVD, LONG BEACH CA",
"3000 BLOCK N BELLFLOWER BLVD, LONG BEACH CA",
"4800 BLOCK BELLFLOWER BLVD, LONG BEACH CA",
"2800 BLOCK BELLFLOWER BLVD, LONG BEACH CA",
"16200 BLOCK BELLFLOWER BLVE, BELLFLOWER CA",
"2200 BLOCK BELLFLOWER, LONG BEACH CA",
BELMONT PIER,
"8300 BLOCK BELMONT ST, BELLFLOWER",
"22400 BLOCK BELSHIRE AVE, HAWAIIAN GARDENS CA",
"19200 BLOCK BENFIELD AVE, CE",
1200 BENNETT AVE,
"200 BLOCK BENNETT AVE, LONG BEACH CA",
"00 BLOCK BENNETT AVE, LONG BEACH CA",
7100 BLOCK BERNER ST,
"BERTH 49 W PIER D ST, LONG BEACH, CA",
"2000 BLOCK BEVERLY PLZA, LONG BEACH CA",
13000 BLOCK BIGELOW,
"BIXBY PARK 130 CHERRY AVE, LONG BEACH",
6200 BLOCK BIXBY TERRACE DR,
"BLOCK PACIFIC AVE, LONG BEACH CA",
20200 BLOCK BLOOMFEILD AVE,
10800 BLOOMFIELD,
18600 BLOOMFIELD,
19700 BLOOMFIELD,
BLOOMFIELD / ARTESIA,
BLOOMFIELD / BALL RD,
"BLOOMFIELD / SOUTH ST, CERRITOS CA",
"19000 BLOCK BLOOMFIELD AVE, CERRITOS",
"18600 BLOOMFIELD AVE, CERRITOS CA",
"16600 BLOCK BLOOMFIELD AVE, CERRITOS CA",
"19700 BLOCK BLOOMFIELD AVE, CERRITOS CA",
"19900 BLOOMFIELD AVE, CERRITOS CA",
"18600 BLOCK BLOOMFIELD AVE, CERRITOS, CA",
5800 BOATHOUSE LN,
"5800 BLOCK BOATHOUSE LN, LONG BEACH, CA",
"2700 BOCK E 4TH ST, LOS ANGELES CA",
400 BLOCK BONITO AVE,
"200 BLOCK BONITO AVE, LONG BEACH CA",
100 BLOCK W BORT,
"11200 BLOCK BOS ST, CERRITOS CA",
"11000 BLOCK BRADFORD CIR, CERRITOS CA",
"12500 BLOCK BRANDO ST, CERRITOS CA 907",
1480 BRAYNT DR,
3400 BLOCK BRAYTON AVE,
"1000 BLOCK E BRENNER PL, LONG BEACH CA",
13100 BLOCK BRIARWOOD AVE,
"4500 BLOCK BRIERCREST AVE, LAKEWOOD, CA",
"9000 BLOCK BRIGHT AVE, WHITTIER, CA",
1800 BLOCK N BRITTON DR,
300 W BROADWAY,
600 BLOCK BROADWAY,
1700 BLOCK E BROADWAY,
400 BLOCK W BROADWAY,
"200 BLOCK E BROADWAY AVE, LONG BEACH CA",
900 BLOCK E BROADWAY LONG BEACH CA,
"1000 BLOCK E BROADWAY ST, LONG BEACH CA",
"400 W BROADWAY, LONG BEACH CA",
"100 BLOCK E BROADWAY, LONG BEACH CA",
12500 BUBBLING CREEK,
588 E BURNETT,
"1000 BLOCK E BURNETT ST, SIGNAL HILL, CA",
2800 BLOCK E CADE ST,
"17600 BLOCK CALIENTE PL, CERRITOS CA",
5400 BLOCK CALIFORNIA,
CALIFORNIA / 36TH ST,
5600 BLOCK CALIFORNIA AVE,
5400 BLOCK CALIFORNIA AVE,
"6300 BLOCK CALIFORNIA AVE, LONG BEACH CA",
"6100 BLOCK CALIFORNIA AVE, LONG BEACH CA",
"5900 BLOCK CALIFORNIA AVE, LONG BEACH, CA",
"5000 BLOCK CAMERINO ST, LAKEWOOD CA",
12000 BLOCK CAMINO VALENCIA,
"6300 BLOCK E CAMPUS WAY, LONG BEACH, CA",
"2100 BLOCK CANAL AVE, LONG BEACH CA",
"1400 BLOCK CANAL AVE, LONG BEACH, CA",
CANDLEWOOD / PARAMOUNT,
1700 W CANTON ST,
2100 BLOCK W CANTON ST,
"1800 BLOCK W CANTON ST, LONG BEACH CA",
"2000 BLOCK W CANTON ST, LONG BEACH CA",
"2300 BLOCK CARFAX AVE, LONG BEACH CA,",
6200 CARITA AVE,
"13100 BLOCK CARLYN ST, CERRITOS CA",
"6800 BLOCK E CARMEN ST, LONG BEACH",
"18100 BLOCK CARMENITA RD, CERRITOS CA",
"10500 BLOCK CARNABY ST, BELLFLOWER CA",
"12300 BLOCK CARNABY ST, CERRITOS CA",
"13400 BLOCK CARNABY ST, CERRITOS CA",
"13100 BLOCK CAROLYN ST, CERRITOS CA",
300 CARROL PARK W,
5400 E CARSON,
5500 E CARSON,
"CARSON / NORWALK, HAWAIIAN GARDENS, CA",
"CARSON / PIONEER BLVD, HAWAIIAN GARDENS",
7000 BLOCK CARSON BLVD LONG BEACH CA,
7200 BLOCK CARSON BLVD LONG BEACH CA,
"7600 BLOCK CARSON BLVD, LONG BEACH CA",
"7800 BLOCK CARSON BLVD, LONG BEACH CA",
2100 BLOCK E CARSON ST,
7600 BLOCK CARSON ST,
"900 BLOCK E CARSON ST, LONG BEACH",
"5900 BLOCK E CARSON ST, LONG BEACH",
"1000 BLOCK W CARSON ST, LONG BEACH CA",
"6700 BLOCK E CARSON ST, LONG BEACH CA",
"7500 BLOCK E CARSON ST, LONG BEACH CA",
"7500 BLOCK CARSON ST, LONG BEACH CA",
"4300 BLOCK E CARSON ST, LONG BEACH CA",
"6100 BLOCK CARSON ST, LONG BEACH CA",
"2000 BLOCK E CARSON ST, LONG BEACH CA",
"5500 E CARSON ST, LONG BEACH CA",
"5400 BLOCK CARSON ST, LONG BEACH CA",
"7700 BLOCK E CARSON ST, LONG BEACH CA",
"4500 BLOCK E CARSON ST, LONG BEACH CA",
"5500 BLOCK E CARSON ST, LONG BEACH CA",
"5500 BLOCK E CARSON ST, LONG BEACH, CA",
"7700 BLOCK CARSON, LONG BEACH",
"1400 BLOCK CARTAGENA ST, LONG BEACH CA",
"1000 BLOCK E CARTEGENA, LONG BEACH",
1900 BLOCK CASPIAN,
2000 CASPIAN,
1800 BLOCK CASPIAN AVE,
2700 BLOCK CASPIAN AVE,
2300 BLOCK CASPIAN AVE,
"3200 BLOCK CASPIAN AVE, LONG BEACH CA",
"1600 BLOCK CASPIAN AVE, LONG BEACH CA",
12700 BLOCK CASTLEFORD LN,
"10700 BLOCK CATALINA ST, LOS ALAMITOS",
"5900 BLOCK CCALIFORNIA AVE, LONG BEACH CA",
"18600 BLOCK CECELIA WAY, CERRITOS CA",
400 CEDAR,
1200 BLOCK CEDAR,
1400 BLOCK CEDAR AVE,
3700 BLOCK CEDAR AVE,
1000 BLOCK CEDAR AVE,
1500 CEDAR AVE,
300 BLOCK CEDAR AVE,
2300 BLOCK CEDAR AVE,
2000 BLOCK CEDAR AVE,
"3600 BLOCK CEDAR AVE, LONG BEACH CA",
