animal_id,crossing
A713449,3000 BLK MAGNOLIA AVE
A710410,"3000 BLOCK FASHION AVE, LONG BEACH CA"
A716483,"3000 BLOCK LOS COYOTES DIAGANOL, LONG BEACH CA"
A716484,"3000 BLOCK LOS COYOTES DIAGANOL, LONG BEACH CA"
A702461,"3000 BLOCK MAGNOLIA AVE, LONG BEACH CA"
A712180,"3000 BLOCK PACIFIC AVE, LONG BEACH CA"
A714787,"3000 BLOCK SNOWDEN AVE, LONG BEACH CA"
A717991,"3000 BLOCK STEVELY AVE, LONG BEACH CA"
A741554,"3000 BLOCK STUDEBAKER RD, LONG BEACH CA"
A722492,"3000 BLOCK WOODRUFF AVE, LONG BEACH CA"
A722496,"3000 BLOCK WOODRUFF AVE, LONG BEACH CA"
A741694,3000 E PCH SH CA
A712395,"3100 BLK NEW DOCK, LONG BEACH CA"
A708137,3100 BLK WOODRUFF AVE
A708758,"3100 BLOCK KANSAS AVE, SOUTH GATE"
A736616,"3100 BLOCK MAGNOLIA AVE, LONG BEACH CA"
A701831,"3100 BLOCK ROXANNE AVE, LONG BEACH CA"
A741212,"3100 BLOCK SPRINGDALE DR, LONG BEACH CA"
A728320,"3100 N LCD, LONG BEACH CA"
A728983,"3140 EAST ANAHEIM, LONG BEACH"
A721615,3200 BLK CHATWIN AVE
A716174,"3200 BLK E 1ST ST, LONG BEACH, CA"
A698383,"3200 BLK EUCALYPTUS AVE, LONG BEACH CA"
A707765,3200 BLK LEES AVE
A734455,3200 BLK N SPRINGDALE DR
A720960,"3200 BLOCK E CURRY ST, LONG BEACH CA"
A720961,"3200 BLOCK E CURRY ST, LONG BEACH CA"
A701755,"3200 BLOCK LCD, LONG BEACH CA"
A709306,"3200 BLOCK STUDEBAKER RD, LONG BEACH CA"
A709642,3300 BLK E 1ST ST
A715234,"3300 BLK E ANAHEIM ST, LONG BEACH, CA"
A677455,3300 BLK SANTA FE
A742693,"3300 BLOCK ANDY ST, LONG BEACH CA"
A697903,"3300 BLOCK E WILLOW, LONG BEACH"
A741063,"3300 BLOCK MAINE AVE, LONG BEACH CA"
A741061,"3300 BLOCK MAINE AVE, LONG BEACH CA"
A741069,"3300 BLOCK MAINE AVE, LONG BEACH CA"
A741067,"3300 BLOCK MAINE AVE, LONG BEACH CA"
A707865,"3300 BLOCK OREGON AVE, LONG BEACH CA"
A694295,3300 STEVELY
A742172,335 EMPIRE LANDING
A708759,3400 BLK 67TH ST
A708761,3400 BLK 67TH ST
A702135,3400 BLK E ANDY ST
A744713,3400 BLK E STEARNS
A715581,"3400 BLK FELA AVE, LONG BEACH"
A709017,3400 BLK MYRTLE AVE
A740692,3400 BLK MYRTLE AVE
A729067,3400 BLK STEVELY AVE
A714412,"3400 BLOCK E 64TH ST, LONG BEACH"
A694696,"3400 BLOCK FALCON AVE, LONG BEACH"
A678173,"3400 BLOCK SANTA FE AVE, LONG BEACH CA"
A708778,3400 E ANAHEIM
A726468,3400 E PCH
A708112,3500 14TH ST
A708113,3500 14TH ST
A696416,3500 BLK CERRITOS AVE
A739598,3500 BLK OCEAN
A699250,3500 BLK SHIPWAY AVE
A729447,"3500 BLOCK CERRITOS AVE, LOS ALAMITOS CA"
A728874,"3500 BLOCK LEES AVE, LONG BEACH CA"
A697343,3600 BALTIC
A726583,"3600 BLK CEDAR AVE, LONG BEACH CA"
A726587,"3600 BLK CEDAR AVE, LONG BEACH CA"
A726253,3600 BLK DELTA AVE
A728368,3600 BLK E 2ND ST
A703725,3600 BLK E HEDDA
A703723,3600 BLK E HEDDA
A703718,3600 BLK E HEDDA
A703721,3600 BLK E HEDDA
A720379,"3600 BLK SANTA FE, LONG BEACH,CA"
A720378,"3600 BLK SANTA FE, LONG BEACH,CA"
A707706,"3600 BLOCK BALTIC AVE, LONG BEACH CA"
A741735,"3600 BLOCK PACIFIC AVE, LONG BEACH CA"
A699718,3600 E 8TH ST
A704288,"3700 BLK ATLANTIC AVE, LONG BEACH CA"
A726240,"3700 BLK IROQUOIS AVE, LONG BEACH, CA"
A696456,3700 BLK LINDEN
A712546,3700 BLK ORANGE AVE
A744818,3700 BLK OSTROM AVE
A722549,"3700 BLOCK ALBURY AVE, LONG BEACH CA"
A709325,"3700 BLOCK CHERRY AVE, LONG BEACH CA"
A708487,"3700 BLOCK IROQUOIS AVE, LONG BEACH CA"
A729213,"3700 BLOCK LEWIS AVE, LONG BEACH CA"
A727192,"3800 BLK E 1ST ST, LONG BEACH, CA"
A716396,3800 BLK E ANAHEIM ST
A717927,"3800 BLK N PACIFIC AVE, LONG BEACH, CA"
A700706,3800 BLK N STUDEBAKER
A693955,3800 BLK SEBREN
A705199,"3800 BLOCK COUNTRY CLUB DR, LONG BEACH CA"
A705201,"3800 BLOCK COUNTRY CLUB DR, LONG BEACH CA"
A713495,"3800 BLOCK MAINE AVE, LONG BEACH"
A698166,3800 COUNTRY CLUB DR
A726259,3821 RADNOR AVE
A699598,3841 CHERRY AVE
A744983,"3900 BLK E ANAHEIM RD, LONG BEACH, CA"
A736810,"3900 BLK KNOXVILLE, LB CA"
A738521,"3900 BLK OF E 14TH ST, LB CA"
A697548,"3900 BLOCK GREENBRIER RD, LONG BEACH CA"
A697549,"3900 BLOCK GREENBRIER RD, LONG BEACH CA"
A697545,"3900 BLOCK GREENBRIER RD, LONG BEACH CA"
A709161,"3900 BLOCK TOLAND CIR, LOS ALAMITOS CA"
A709156,"3900 BLOCK TOLAND CIR, LOS ALAMITOS CA"
A709162,"3900 BLOCK TOLAND CIR, LOS ALAMITOS CA"
A703984,3900 E OCEAN
A701497,"40 CEDAR WALK, LONG BEACH CA"
A701495,"40 CEDAR WALK, LONG BEACH CA"
A573330,400 BLK ALMOND AVE
A574278,400 BLK ALMOND AVE
A702168,651 OBISPO
A726831,6600 BLK E WARDLOW RD
A728072,"6600 BLK E WARDLOW RD, LONG BEACH, CA"
A720963,6600 BLK ROSE AVE
A743690,"6600 BLOCK CURTIS AVE, LONG BEACH CA"
A705253,6700 BLK ATLANTIC AVE
A697417,6700 BLK LEMON AVE
A696022,6700 BLK ORIZABA
A696023,6700 BLK ORIZABA
A703703,"6700 BLOCK DOWNEY AVE, LONG BEACH"
A706614,"6700 BLOCK E CARSON ST, LONG BEACH CA"
A718545,6700 E LA MARIMBA
A719767,67009 BLK CURTIS AVE
A618433,6800 BLK CHERRY AVE
A698528,6800 BLK DELTA AVE
A715569,6800 BLK KEYNOTE ST
A741737,"6800 BLOCK CHERRY AVE, LONG BEACH CA"
A728787,"6800 BLOCK LEMON AVE, LONG BEACH CA"
A712712,"6800 BLOCK ORANGE AVE, LONG BEACH CA"
A695618,6800 E SPRING ST
A701827,"6900 BLK ATLANTIC AVE, LONG BEACH, CA"
A708556,6900 BLK E ROBLE ST
A720936,"6900 BLK E SEASIDE WALK, LONG BEACH, CA"
A712754,6900 BLK EASTINDALE AVE
A709251,"6900 BLK LONG BEACH BLVD, LONG BEACH"
A736563,"6900 BLOCK MYRTLE AVE, LONG BEACH CA"
A718259,6962 E. RENDINA ST
A718258,6962 E. RENDINA ST
A725902,"700 BLK CERRITOS AVE, LONG BEACH CA"
A703045,"700 BLK CHERRY AVE, LONG BEACH, CA"
A715309,700 BLK DAWSON AVE
A701182,"700 BLK E SPRING ST, SIGNAL HILL CA"
A743087,700 BLK GARDENIA AVE
A699966,"700 BLK PARK AVE, LONG BEACH, CA"
A720265,700 BLK W 3RD ST
A713328,"700 BLK W ESTHER ST, LONG BEACH CA"
A721342,700 BLK W OCEAN
A711662,"700 BLK W WILLOW AVE, LONG BEACH CA"
A741664,"700 BLOCK E 15TH ST, LONG BEACH CA"
A711653,"700 BLOCK E PACIFIC COAST HWY, LONG BEACH CA"
A538637,"700 BLOCK E SILVA ST, LONG BEACH CA"
A697262,"700 BLOCK ELM AVE, LONG BEACH CA"
A697053,"700 BLOCK ELM AVE, LONG BEACH CA"
A744064,"700 BLOCK LINDEN AVE, LONG BEACH CA"
A713049,"700 BLOCK PINE AVE, LONG BEACH CA"
A713046,"700 BLOCK PINE AVE, LONG BEACH CA"
A448695,"700 BLOCK SAN PABLO CT, LONG BEACH CA"
A710159,7000 BLK ATLANTIC PL
A696867,7000 E EL PASEO
A706657,710 FREEWAY AND PACIFIC COAST HWY
A709277,710 FREEWAY AT 6TH ST
A720176,"710 FREEWAY AT PCH, LONG BEACH CA"
A721253,"7-10 FREEWAY, LONG BEACH, CA"
A718369,710 FWY/ LONG BEACH BLVD
A696669,"7100 BLK ATLANTIC PL, LONG BEACH CA"
A714163,7200 BLK CARSON BLVD LONG BEACH CA
A707638,7500 BLK E SPRING ST
A728292,7500 BLK E SPRING ST
A732940,"7500 BLOCK E CARSON ST, LONG BEACH CA"
A717116,"7500 BLOCK E SPRING ST, LONG BEACH CA"
A741227,"7500 BLOCK E SPRING ST, LONG BEACH CA"
A706994,"7500 BLOCK SPRING ST, LONG BEACH"
A718725,7500 SPRING ST
A645991,"7550 BLK E SPRING ST, LONG BEACH, CA 908157"
A714417,7550 E SPRING ST
A723416,7600 BLK CARSON ST
A656988,"7600 BLK E SPRING ST, LONG BEACH, CA 908115"
A693864,7600 BLK S. CENTRAL AVE/E.76TH PL
A707986,"7600 BLOCK CARSON BLVD, LONG BEACH CA"
A709032,"7600 BLOCK E SPRING ST, LONG BEACH CA"
A712707,7700 BLK E SPRING ST
A696646,7700 BLK E SPRING ST
A696645,7700 BLK E SPRING ST
A739398,"7700 BLK E SPRING ST, LONG BEACH"
A737845,"7700 BLK E SPRING ST, LONG BEACH CA"
A745179,"7700 BLK E SPRING ST, LONG BEACH, CA 908015"
A701097,"7700 BLOCK CARSON, LONG BEACH"
A717196,"7700 BLOCK E CARSON ST, LONG BEACH CA"
A733058,"7700 BLOCK E SPRING ST, LONG BEACH CA"
A715552,"7700 BLOCK E SPRING ST, LONG BEACH CA"
A715553,"7700 BLOCK E SPRING ST, LONG BEACH CA"
A720135,"7700 BLOCK E SPRING ST, LONG BEACH CA"
A720133,"7700 BLOCK E SPRING ST, LONG BEACH CA"
A733469,"7700 BLOCK SPRING ST, LONG BEACH CA"
A698050,7700 E SPRING ST
A698121,7700 E SPRING ST
A698049,7700 E SPRING ST
A695431,7700 E SPRING ST
A703473,7700 E SPRING ST
A694001,7700 E SPRING ST
A707016,"7700 E SPRING ST, LONG BEACH CA"
A744917,"7700 E SPRING ST, LONG BEACH CA"
A658391,"7700 E SPRING ST, LONG BEACH CA"
A708591,"7700 E SPRING ST, LONG BEACH CA"
A740809,"7700 E SPRING ST, LONG BEACH CA"
A739060,"7700 E SPRING ST, LONG BEACH CA"
A707018,"7700 E SPRING ST, LONG BEACH CA"
A700050,"7700 E SPRING ST, LONG BEACH CA"
A709398,7700 E SPRING STREET
A716629,7700 E SPRING STREET
A717701,7700 E SPRING STREET
A717961,7700 E. SPRING ST. LONG BEACH
A709603,7700 SPRING ST.
A700633,7700BLK OF E SPRING ST.
A696741,7700TH BLK OF E SPRING ST
A697279,7700TH BLK OF E SPRING ST
A694155,800 BLK ALOMITOS AVE
A694152,800 BLK ALOMITOS AVE
A694157,800 BLK ALOMITOS AVE
A718104,800 BLK E CLAIBORNE DR
A703452,800 BLK LIME AVE
A717176,800 BLK MARTIN LUTHER KING JR
A621468,"800 BLK MARTIN LUTHER KING JR AVE, LONG BEACH, CA 908013"
A701815,800 BLK OCEAN AVE
A693099,800 BLK PINE
A728849,"800 BLOCK CHESTNUT AVE, LONG BEACH CA"
A443243,"800 BLOCK CORONADO AVE, LONG BEACJH CA"
A738854,"800 BLOCK E OCEAN BLVD, LONG BEACH CA"
A740939,"800 BLOCK HOFFMAN AVE, LONG BEACH"
A677411,800 E SOUTH
A704765,800 ROXANNE
A716219,8000 BLK TARMA ST
A716223,8000 BLK TARMA ST
A716221,8000 BLK TARMA ST
A716224,8000 BLK TARMA ST
A716220,8000 BLK TARMA ST
A722453,"8000 BLOCK AINSWORTH LN, LA PALMA CA"
A722450,"8000 BLOCK AINSWORTH LN, LA PALMA CA"
A722451,"8000 BLOCK AINSWORTH LN, LA PALMA CA"
A711487,"8100 BLOCK E TIMOR ST, LONG BEACH CA"
A717516,"8100 BLOCK E TURBO ST, LONG BEACH CA"
A709502,"8100 BLOCK WOODSON ST, LONG BEACH"
A736594,"8200 BLOCK TULA AVE, LONG BEACH CA"
A736596,"8200 BLOCK TULA AVE, LONG BEACH CA"
A696280,8200 TEVA
A713495,"8400 BLOCK EDINGER AVE, HUNTINGTON BEACH CA"
A701696,888 OCEAN AVE
A711559,900 BLK ATLANTIC AVE
A697993,"900 BLK CHESTER PL, LONG BEACH CA"
A697995,"900 BLK CHESTER PL, LONG BEACH CA"
A711306,900 BLK E 27TH ST
A733862,900 BLK E BROADWAY LONG BEACH CA
A739210,900 BLK OHIO AVE
A739211,900 BLK OHIO AVE
A700960,900 BLK OLIVE AVE
A710625,900 BLK PINE AVE
A697033,900 BLK VIA CARMELITOS
A697554,"900 BLOCK E 10TH ST, LONG BEACH CA"
A713607,"900 BLOCK E 2ND ST, LONG BEACH CA"
A718160,"900 BLOCK E CARSON ST, LONG BEACH"
A736292,"900 BLOCK GARDENIA AVE, LONG BEACH CA"
A706294,"900 BLOCK LINDEN AVE, LONG BEACH CA"
A720118,"900 BLOCK LOCUST AVE, LONG BEACH CA"
A737015,"900 BLOCK LOMA VISTA DR, LONG BEACH CA"
A741336,"900 BLOCK SILVA ST, LONG BEACH CA"
A714379,900 SEAL BEACH BLVD
A714406,91 FWY EASTBOUND CERRITOS CA
A715015,"9500 BLOCK BALL RD, ANAHEIM CA"
A710170,ABANDONED AT NATURE CENTER
A605521,"ARTESIA BLVD AND GERRIT, CE"
A708925,ATLANTIC AND 20TH
A708927,ATLANTIC AND 20TH
A700566,ATLANTIC AND CARMELITOS
A704328,"BALL ROAD AND VALLEY VIEW, CYPRESS"
A721907,"BERTH 49 W PIER D ST, LONG BEACH, CA"
A694048,BLOOMFIELD AND ARTESIA
A706669,"BLOOMFIELD AND SOUTH ST, CERRITOS CA"
A693863,BLOOMFIELD/BALL RD
A704749,CALIFORNIA & 36TH ST
A707219,"CARSON AND PIONEER BLVD, HAWAIIAN GARDENS"
A697339,CENTER
A701788,COLORADO LAGOON NEAR APPIAN WAY
A737032,COMMELBACK AND TEMPLE
A719847,E. TERRACE AND LEMON AVE
A699236,EL DORADO NATURE CENTER
A698148,EL DORADO PARK
A733969,EL DORADO PARK AREA 3 NEAR LAKE LONG BEACH CA
A627434,EL DORADO PARK AREA III
A738470,EL DORADO PARK EAST GLIDER FIELD
A700613,"EL DORADO PARK, LONG BEACH"
A693760,EXCELSIOR DR/WHEATSTONE NORWALK
A682335,"GERALD DESMOND BRIDGE, LONG BEACH, CA"
A698216,GREEN AVE/HOWARD LOS AL 907020
A698215,GREEN AVE/HOWARD LOS AL 907020
A692865,HARRISBURG AND SHAKESPEARE ROSSMOOR
A701142,LBACS
A693070,LBAE
A740721,LEFT IN PLOT
A699716,LEISURE WORLD
A694031,LONG BEACH BLVD AND 49TH ST
A702445,LONG BEACH TOWNE CENTER
A697581,"LONG BEACH TOWNE CENTER, LONG BEACH"
A714782,"MENDY AND GARFIELD, PARAMOUNT CA"
A702393,MOTHERS BEACH-5800 BLOCK APPIAN WAY
A702390,MOTHERS BEACH-5800 BLOCK APPIAN WAY
A708807,N STUDEBAKER RD AND SPRING STREET LONG BEACH CA 9015
A724178,NAACP FREEDOM PARK
A694695,OCEAN AND 2NDST
A418724,OCEAN AND CORONADO
A698365,ORIZABA/BROADWAY LB CA
A719827,ORIZBA AND EIGTH STREET
A637086,"PACIFIC AND BROADWAY, LONG BEACH, CA"
A720179,PEIR G PORT OF LONG BEACH
A713633,"PINE AND BROADWAY, LONG BEACH CA"
A713631,"PINE AND BROADWAY, LONG BEACH CA"
A701776,RIVERBED NEAR 605 FREEWAY AND SOUTH ST
A695601,SEAL BEACH LIFEGUARDS
A700050,SHELTER CAT
A699588,SHORELINE VILLAGE 300 E SHORELINE
A699589,SHORELINE VILLAGE 300 E SHORELINE
A703993,SKYLINE AND HILL
A698870,"SPRING AND STUDEBAKER RD, LONG BEACH"
A683155,"SUNSET & CEDAR LONG BEACH,CA"
A700569,UNK
A700571,UNK
A721871,W TRAFFORD ST
A641784,"400 BLK E PLYMOUTH ST, LONG BEACH, CA 900805"
A692798,400 BLK E RHEA ST
A698512,400 BLK E SHORELINE VILLAGE DR
A709282,400 BLK LONG BEACH BLVD
A695947,400 BLK ROSE PL
A744187,400 BLK SANTIAGO AVE
A725977,400 BLK W 23RD ST
A716952,"400 BLK W 5TH ST, LONG BEACH, CA"
A698874,400 BLK W BROADWAY
A739634,"400 BLOCK CERRITOS AVE, LONG BEACH CA"
A716623,"400 BLOCK CHERRY AVE, LONG BEACH CA"
A706299,"400 BLOCK E 55TH ST, LONG BEACH CA"
A738127,"400 BLOCK E 7TH ST, LONG BEACH CA"
A738129,"400 BLOCK E 7TH ST, LONG BEACH CA"
A707922,"400 BLOCK E ADAIR ST, LONG BEACH CA"
A742678,"400 BLOCK E ARBOR ST, LONG BEACH CA"
A742677,"400 BLOCK E ARBOR ST, LONG BEACH CA"
A722348,"400 BLOCK E ESTHER ST, LONG BEACH CA"
A734115,"400 BLOCK E OCEAN BLVD, LONG BEACH CA"
A710081,"400 BLOCK E POPPY ST, LONG BEACH CA"
A713637,"400 BLOCK E SHORELINE AVE, LONG BEACH"
A727278,"400 BLOCK E SHORELINE DR, LONG BEACH CA"
A699797,"400 BLOCK OLIVE AVE, LONG BEACH CA"
A699359,"400 BLOCK PACIFIC AVE, LONG BEACH CA"
A681285,"400 BLOCK REDONDO AVE, LONG BEACH CA"
A703435,"400 W BROADWAY, LONG BEACH CA"
A701435,"4000 BLK E CONANT AVE, LONG BEACH, CA"
A701434,"4000 BLK E CONANT AVE, LONG BEACH, CA"
A738719,4000 BLK PACIFIC AVE
A731855,"4000 BLOCK CLARK AVE, LONG BEACH CA"
A709892,"4000 BLOCK E OCEAN BLVD, LONG BEACH CA"
A702468,4000 BLOCK LAKEWOOD AT THE LBX HANGER
A708581,"4000 BLOCK SANTA FE AVE, LONG BEACH CA"
A715080,4000 RANSOM
A722216,400TH TERMINO
A694326,405 FREEWAY AND 710
A694327,405 FREEWAY AND 710
A732429,"405 FREEWAY AND LAKEWOOD, LONG BEACH CA"
A741313,405 FWY MAGNOLIA AVE/W WARDLOW RD
A713617,4100 ATLANTIC
A742617,4100 BLK E ANAHEIM ST
A718039,"4100 BLK LOCUST AVE, LB90807"
A705756,4100 BLK OLYMPIC PLAZA
A699366,4100 BLK VIRGINIA RD
A714374,"4100 BLOCK E WILLOW ST, LONG BEACH CA"
A718914,"4200 BLOCK E ANAHEIM ST, LONG BEACH CA"
A714122,"4200 BLOCK GOLDFIELD AVE, LONG BEACH CA"
A723648,"4200 BLOCK LBB, LONG BEACH CA"
A722053,4200 E WILLOW ST
A729974,4300 BLK GAVIOTA AVE
A719930,4300 BLK OCEAN BLVD
A728831,4300 BLK RUTGERS
A693040,4300 MAURY AVE
A696554,4400 BLK GUNDRY AVE
A741205,"4400 BLK OF GUNDRY, LB CA"
A741722,"4400 BLOCK GAVIOTA AVE, LONG BEACH CA"
A710808,"4400 BLOCK HUNGERFORD, LAKEWOOD, CA"
A724505,"4400 BLOCK KATELLA AVE, LOS ALAMITOS CA"
A726797,"4500 BLK E 10TH ST, LONG BEACH, CA"
A715808,4500 BLK LONG BEACH BLVD
A708944,"4500 BLOCK E CARSON ST, LONG BEACH CA"
A717562,4600 BLK LONG BEACH BLVD
A694697,4600 BLK LONG BEACH BLVD
A697421,4600 BLK LONG BEACH BLVD
A698390,"4600 BLK LONG BEACH BLVD, LONG BEACH CA"
A698878,4600 BLK VIRGINIA RD
A739081,"4600 BLOCK FALCON AVE, LONG BEACH CA"
A720404,"4700 BLK E OCEAN BLVD, LONG BEACH, CA"
A725845,4700 BLK E PACIFIC COAST HWY
A725844,4700 BLK E PACIFIC COAST HWY
A731691,"4700 BLOCK CLAIR DEL AVE, LONG BEACH, CA"
A734294,"4700 BLOCK DAISY AVE, LONG BEACH CA"
A734295,"4700 BLOCK DAISY AVE, LONG BEACH CA"
A693425,"4700 BLOCK E PACIFIC COAST HWY, LONG BEACH CA"
A715293,4720 E PACIFIC COAST HWY
A719468,"4720 E PACIFIC COAST HWY, LONG BEACH CA"
A699582,4720 E PCH
A699658,4720 E PCH
A713297,4720 PACIFIC COAST HWY
A723898,"4720 PACIFIC COAST HWY, LONG BEACH CA"
A693367,4800 ATLANTIC
A734138,"4800 BLOCK LBB,LONG BEACH CA"
A719612,4800 LAKEWOOD
A718226,4900 BLK ATLANTIC AVE
A701824,"4900 BLK LAKEWOOD BLVD, LAKEWOOD, CA"
A731572,4900 BLK OREGON AVE
A702484,"500 BLK 7TH ST, LONG BEACH CA"
A699164,500 BLK CERRITOS AVE
A697426,500 BLK CHESTNUT AVE
A727979,500 BLK E 17TH ST
